53,Bukit Panjang,1.378606777534628,103.76207094806414
142,Cashew,1.369832266016459,103.76437597143683
141,Hillview,1.362472,103.767389
140,Beauty World,1.341652223728062,103.77593495118924
139,King Albert Park,1.335681794097581,103.78414913248024
138,Sixth Avenue,1.330587440986789,103.7972286732874
137,Tan Kah Kee,1.32596155244434,103.80702175367918
121,Botanic Gardens,1.322584986569922,103.8157245999252
136,Stevens,1.320220032589532,103.82542137224952
7,Newton,1.312959544241608,103.83886376564504
75,Little India,1.306571360556944,103.8492985645438
135,Rochor,1.303983867047265,103.85261176323023
31,Bugis,1.300530271482671,103.85609486309403
113,Promenade,1.29278053144651,103.8610838556819
131,Bayfront,1.282534828283332,103.85972959158619
132,Downtown,1.279191119469374,103.85334476066276
133,Telok Ayer,1.282123025380429,103.84874393401083
77,Chinatown,1.285019475841068,103.84400329721399
